ctrl-1_FRAS202101646-1r_aligned.sam	ctrl-2_FRAS202101647-1r_aligned.sam	ctrl-3_FRAS202101648-1r_aligned.sam	ctrl-4_FRAS202101649-1r_aligned.sam	AKG-1_FRAS202101650-1r_aligned.sam	AKG-2_FRAS202101651-1r_aligned.sam	AKG-3_FRAS202101652-1r_aligned.sam	AKG-4_FRAS202101653-1r_aligned.sam	Pyr-1_FRAS202101654-1r_aligned.sam	Pyr-2_FRAS202101655-1r_aligned.sam	Pyr-3_FRAS202101656-1r_aligned.sam	Pyr-4_FRAS202101657-1r_aligned.sam	Length
ENSG00000275904	0	0	0	0	0	0	0	0	0	0	0	0	112
ENSG00000277208	0	0	0	0	0	0	0	0	0	0	1	0	58
ENSG00000275614	0	1	1	1	3	0	0	1	1	1	1	0	192
ENSG00000274026	105	114	122	71	128	78	63	76	81	86	141	130	1593
ENSG00000278735	0	0	0	0	0	0	0	0	0	0	0	0	202
ENSG00000274100	2	1	1	1	0	0	0	1	1	0	5	2	211
ENSG00000278134	0	0	0	0	1	0	0	0	0	1	5	0	601
ENSG00000276032	19	13	24	8	18	17	13	13	15	14	15	15	370
ENSG00000278763	9	1	7	7	4	9	11	10	8	11	19	42	213
ENSG00000274911	33	26	43	24	39	46	33	35	32	36	78	75	655
ENSG00000274098	0	0	0	0	0	0	0	1	0	0	0	0	284
ENSG00000278010	0	0	0	0	0	0	0	0	0	0	0	0	95
ENSG00000277618	0	0	0	0	0	0	0	0	0	0	0	0	280
ENSG00000260691	4	2	6	6	8	10	6	3	4	9	3	7	3887
ENSG00000278551	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000274869	0	2	0	2	1	1	1	0	4	2	1	4	1216
ENSG00000226904	0	0	0	0	0	0	0	0	0	0	0	0	340
ENSG00000196873	65	28	30	24	55	33	38	25	18	40	41	59	12319
ENSG00000279706	0	0	0	0	0	0	0	0	0	0	0	0	1188
ENSG00000187559	0	0	0	0	0	0	0	0	0	0	0	0	2039
ENSG00000234394	0	0	0	0	0	0	0	0	0	0	0	1	5282
ENSG00000225337	0	0	0	0	0	0	0	0	0	0	0	0	416
ENSG00000154330	6	3	5	5	3	0	1	0	2	8	1	1	7426
ENSG00000224958	0	0	0	0	0	0	0	0	0	0	0	0	604
ENSG00000233178	3	1	0	7	6	2	7	2	2	1	2	2	4007
ENSG00000229019	0	0	0	0	0	0	0	0	0	0	0	0	905
ENSG00000181778	0	0	0	0	0	0	0	0	0	0	0	0	1245
ENSG00000226337	0	0	0	0	0	0	0	0	0	0	0	0	1739
ENSG00000234506	0	0	0	0	0	0	0	0	0	0	0	0	526
ENSG00000224025	0	0	0	0	0	0	0	0	0	0	0	0	2860
ENSG00000107242	236	225	216	254	238	241	237	241	195	214	244	280	4918
ENSG00000187866	631	557	668	616	498	497	494	492	607	576	526	636	4554
ENSG00000236998	3	4	7	3	2	1	7	3	3	4	1	9	1248
ENSG00000236733	0	0	0	0	1	0	1	0	0	0	1	0	516
ENSG00000207000	0	0	1	0	0	0	0	0	0	0	0	0	107
ENSG00000165059	0	0	0	0	0	0	0	0	0	0	3	0	1609
ENSG00000165060	673	604	688	602	517	577	610	528	597	627	781	785	2939
ENSG00000270236	0	0	2	1	0	3	1	4	1	0	0	4	292
ENSG00000119139	1054	957	961	990	782	872	911	862	953	995	1180	1373	7306
ENSG00000278910	2	0	1	2	1	2	1	5	3	1	4	0	600
ENSG00000135063	0	0	0	0	0	0	0	0	0	0	0	0	4015
ENSG00000107282	0	0	0	1	0	0	0	0	0	0	0	0	11384
ENSG00000243888	0	0	0	0	0	0	0	0	0	0	0	0	398
ENSG00000229312	0	0	0	0	0	0	0	0	0	0	0	0	442
ENSG00000261447	0	0	0	0	0	0	0	0	0	0	0	0	965
ENSG00000188647	2443	2185	2389	1943	2025	1916	1941	1865	1977	1869	1568	1714	12200
ENSG00000225626	0	0	0	0	0	0	0	0	0	0	0	0	1472
ENSG00000204711	7	6	5	9	11	9	12	7	6	10	13	7	1279
ENSG00000241174	0	0	0	0	0	0	0	0	0	0	0	0	292
ENSG00000204706	2	0	1	0	6	0	4	4	4	2	1	2	9862
ENSG00000165072	1	2	0	2	1	0	2	3	2	4	0	0	3854
ENSG00000222465	2	0	0	0	0	0	0	0	0	0	0	0	180
ENSG00000268364	13	8	4	5	2	11	8	11	14	10	6	10	1818
ENSG00000236801	189	140	163	140	146	130	108	150	120	158	142	134	474
ENSG00000198887	1601	1441	1587	1392	1308	1326	1488	1405	1663	1587	1255	1286	6637
ENSG00000274421	1	0	0	2	2	2	0	3	1	0	0	0	1246
ENSG00000239180	0	0	0	0	0	0	0	0	0	0	0	0	95
ENSG00000119138	303	278	324	332	266	300	348	302	268	193	308	292	5175
ENSG00000083067	0	0	0	1	0	0	0	0	0	0	0	1	19912
ENSG00000272232	0	0	0	0	0	0	0	0	0	0	0	0	299
ENSG00000232086	0	0	0	0	0	0	0	0	0	0	0	0	337
ENSG00000223966	0	0	0	0	0	0	0	0	0	0	0	0	337
ENSG00000207935	0	0	0	0	0	0	0	0	0	0	0	0	131
ENSG00000224437	9	11	1	8	4	7	2	6	9	1	4	6	505
ENSG00000229814	0	0	0	0	0	0	0	0	0	0	0	1	333
ENSG00000135048	683	669	697	631	558	585	587	570	641	704	664	793	9625
ENSG00000271166	0	0	0	0	0	0	0	0	0	0	0	0	544
ENSG00000107362	499	537	566	440	496	485	511	445	480	498	419	451	2959
ENSG00000281760	0	0	1	1	0	0	0	0	2	0	0	0	33
ENSG00000200922	0	1	0	0	0	0	0	0	0	0	0	1	96
ENSG00000155621	174	146	206	157	167	126	171	181	152	167	174	145	4973
ENSG00000236060	2	1	0	0	3	2	2	2	2	0	8	4	256
ENSG00000204669	0	0	0	0	0	0	0	0	0	0	0	0	1563
ENSG00000224820	0	0	0	0	0	0	0	0	0	0	0	0	495
ENSG00000119125	1120	935	1100	920	1044	1046	975	1027	966	1069	773	838	7904
ENSG00000235523	4	3	2	0	2	5	1	0	1	1	2	2	361
ENSG00000233933	0	0	0	0	0	0	0	0	0	0	0	0	423
ENSG00000252428	0	0	0	0	0	0	0	0	0	0	0	0	119
ENSG00000225434	1	0	0	0	0	0	0	0	0	0	0	0	2458
ENSG00000107372	1740	1574	1724	1470	1567	1552	1649	1539	1662	1616	1425	1465	7053
ENSG00000230003	0	0	0	0	0	0	0	0	0	0	0	0	216
ENSG00000225947	0	0	0	0	0	0	0	0	0	0	0	0	392
ENSG00000165091	0	0	0	0	0	0	1	0	0	0	0	1	4615
ENSG00000236862	0	0	0	0	0	0	0	0	0	0	0	0	361
ENSG00000229753	0	0	0	0	0	0	0	0	0	0	0	0	466
ENSG00000236849	1	1	0	2	2	2	1	3	1	1	3	1	639
ENSG00000165092	148	142	201	137	223	196	242	205	184	196	202	208	2849
ENSG00000228024	34	28	30	33	39	23	50	27	46	37	32	38	1433
ENSG00000135046	6006	5334	5954	5356	5051	5244	5902	5397	5329	5508	4802	4510	4561
ENSG00000221110	0	0	0	0	0	0	0	0	0	0	0	0	108
ENSG00000221844	0	0	2	0	0	2	0	0	0	0	0	0	1696
ENSG00000232590	0	0	0	0	0	0	0	0	0	0	0	0	624
ENSG00000236701	0	0	1	2	1	3	0	3	0	0	0	0	1012
ENSG00000212454	0	0	0	0	0	0	0	0	0	0	0	0	106
ENSG00000223368	10	6	8	7	9	4	7	3	7	1	10	4	614
ENSG00000227809	0	0	0	0	0	0	0	0	0	0	0	0	648
ENSG00000224825	0	0	0	0	0	0	0	0	0	0	0	0	1178
ENSG00000198963	0	0	0	0	1	0	0	0	0	0	0	0	9591
ENSG00000119121	11	9	8	2	3	9	17	8	4	16	10	5	9193
ENSG00000202217	0	0	0	0	0	0	0	0	0	0	0	0	328
ENSG00000270954	0	0	0	0	0	0	0	0	0	0	0	0	301
ENSG00000281621	0	0	0	0	0	0	0	0	0	0	0	0	96
ENSG00000252758	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000224297	0	0	0	0	0	0	0	0	0	0	0	0	521
ENSG00000135045	449	436	526	497	403	394	542	393	502	475	591	695	2327
ENSG00000203321	7	5	6	5	1	11	6	5	6	4	6	15	719
ENSG00000156017	968	910	1003	737	751	688	756	751	746	742	566	691	4610
ENSG00000229587	1	2	2	4	9	10	11	8	6	6	2	4	670
ENSG00000278040	1	1	2	0	1	0	0	0	1	1	1	0	168
ENSG00000106733	31	34	22	19	21	29	24	44	18	17	17	25	3865
ENSG00000134996	211	163	235	170	223	238	236	236	207	249	241	247	1319
ENSG00000200041	0	0	0	0	0	0	0	0	0	0	0	0	102
ENSG00000212316	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000235707	0	0	0	0	0	0	0	0	0	0	0	0	1104
ENSG00000236376	0	0	0	0	0	0	0	0	0	0	0	0	458
ENSG00000280790	0	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000234644	0	0	0	0	0	0	0	0	0	0	0	0	354
ENSG00000099139	0	0	0	0	0	0	1	0	0	0	0	0	12705
ENSG00000238826	0	0	0	0	0	0	0	0	0	0	0	0	97
ENSG00000231137	0	0	0	0	0	0	0	0	0	0	0	0	1277
ENSG00000135002	769	629	752	576	638	672	658	674	624	670	498	540	3877
ENSG00000234618	25	12	21	11	15	11	8	23	15	9	19	18	888
ENSG00000187210	0	0	2	2	5	1	1	3	1	0	1	0	6463
ENSG00000233814	0	0	0	0	0	0	0	0	0	0	0	0	339
ENSG00000219149	0	0	0	0	0	0	0	0	0	0	0	0	490
ENSG00000241781	0	0	0	0	0	1	0	0	0	0	0	0	57
ENSG00000106772	2	0	4	0	2	1	3	1	2	1	0	1	14656
ENSG00000265488	0	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000225937	0	0	0	0	0	0	0	0	0	0	0	0	3922
ENSG00000274326	0	0	0	0	0	0	0	0	0	0	0	0	261
ENSG00000277320	0	0	0	0	0	0	0	0	0	0	0	0	409
ENSG00000230335	0	0	0	0	0	0	0	0	0	0	0	0	806
ENSG00000236604	0	0	0	0	0	0	0	0	0	0	0	0	576
ENSG00000229857	0	0	0	0	0	0	0	0	0	0	0	0	732
ENSG00000204612	0	0	0	0	0	0	0	0	0	0	0	0	1299
ENSG00000232851	0	0	0	0	0	0	0	0	0	0	0	0	258
ENSG00000233526	0	0	0	0	0	0	0	0	0	0	0	0	874
ENSG00000232998	0	0	0	0	0	0	0	0	0	0	0	1	519
ENSG00000197969	2317	2110	2353	1978	1913	2106	1790	1873	2111	2048	1441	1614	20196
ENSG00000156049	0	0	0	0	0	0	2	0	0	0	0	2	2721
ENSG00000231373	0	0	0	0	0	0	0	0	0	0	0	0	605
ENSG00000228248	0	0	0	0	0	0	0	0	0	0	0	0	384
ENSG00000201711	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000156052	1840	1894	2050	1831	1543	1504	1498	1552	1881	1942	1431	1753	6629
ENSG00000233457	0	0	0	0	0	0	0	0	0	0	0	0	662
ENSG00000222452	0	0	0	0	0	0	0	0	0	0	0	0	314
ENSG00000233947	0	0	0	0	0	0	0	0	0	0	0	0	1250
ENSG00000228781	0	0	0	0	0	0	0	0	0	0	0	0	480
ENSG00000234819	2	1	4	0	2	2	1	0	0	0	2	1	238
ENSG00000148019	869	772	803	755	674	706	733	781	795	819	650	725	14355
ENSG00000135069	3865	3402	3894	3270	1686	1622	1821	1641	1640	1630	1643	1641	2188
ENSG00000270627	0	0	0	0	0	0	0	0	0	0	0	0	382
ENSG00000237257	0	0	0	0	0	0	0	0	0	0	0	0	1025
ENSG00000226234	0	0	0	0	0	0	0	0	0	0	0	0	1156
ENSG00000260995	0	0	0	0	0	0	0	0	0	0	0	0	2432
ENSG00000186940	6	5	2	2	1	2	3	3	6	1	8	12	456
ENSG00000233086	0	0	1	0	0	0	0	0	0	0	0	0	3830
ENSG00000106829	124	151	146	160	148	160	145	148	132	124	177	183	8187
ENSG00000240979	0	0	0	0	0	0	0	0	0	0	0	0	253
ENSG00000270691	0	0	0	0	0	0	0	0	0	0	0	0	628
ENSG00000238002	0	0	0	0	0	0	0	0	0	0	0	0	3484
ENSG00000232494	0	0	0	0	0	0	0	0	0	0	0	0	524
ENSG00000260564	0	0	0	0	0	0	0	0	0	0	0	0	3007
ENSG00000279715	0	0	0	0	0	0	0	2	0	0	0	0	2468
ENSG00000280366	0	0	0	0	0	0	0	0	0	0	0	0	586
ENSG00000230945	0	0	0	0	0	0	0	0	0	0	0	0	446
ENSG00000236521	0	0	0	0	0	0	0	0	0	0	0	0	3310
ENSG00000275603	0	0	0	0	0	0	0	0	0	0	0	0	75
ENSG00000232981	0	0	0	0	0	0	0	0	0	0	0	0	1060
ENSG00000225901	0	0	0	0	0	0	0	0	0	0	0	0	931
ENSG00000221581	0	0	0	0	0	0	0	0	0	0	0	0	88
ENSG00000234637	0	0	0	0	0	0	0	0	0	0	0	0	433
ENSG00000226798	0	0	0	0	0	0	0	0	0	0	0	0	791
ENSG00000280565	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000228375	0	0	0	0	0	0	0	0	0	0	0	0	352
ENSG00000237072	0	0	0	0	0	0	0	0	0	0	0	0	530
ENSG00000196781	0	0	0	0	0	0	0	0	0	0	0	0	4906
ENSG00000233926	0	0	0	0	0	0	0	0	0	0	0	0	1885
ENSG00000207206	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000263404	0	0	0	0	0	0	0	0	0	0	0	0	86
ENSG00000252167	0	0	0	0	0	0	0	0	0	0	0	0	103
ENSG00000278507	0	0	0	0	0	0	0	0	0	0	0	0	92
ENSG00000200969	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000240632	0	0	0	0	0	0	0	0	0	0	0	0	4863
ENSG00000230846	0	0	0	0	0	0	0	0	0	0	0	0	465
ENSG00000189357	0	0	0	0	0	0	0	0	0	0	0	0	4787
ENSG00000267559	0	0	0	0	0	0	0	0	0	0	0	0	2208
ENSG00000186788	0	0	0	0	0	0	0	0	0	0	0	0	5702
ENSG00000237770	0	0	0	0	0	0	0	0	0	0	0	0	4388
ENSG00000214929	0	0	0	0	0	0	0	0	0	0	0	0	5158
ENSG00000231649	0	0	0	0	0	0	0	0	0	0	0	0	4016
ENSG00000230360	0	0	0	0	1	1	0	1	0	0	0	0	2614
ENSG00000235377	0	0	0	0	0	0	0	0	0	0	0	0	881
ENSG00000228430	0	0	0	0	0	0	0	0	0	0	0	0	3858
ENSG00000225085	0	0	0	0	0	0	0	0	0	0	0	0	455
ENSG00000228046	0	0	0	0	0	0	0	0	0	0	0	0	676
ENSG00000228123	0	0	0	0	0	0	0	0	0	0	0	0	1017
ENSG00000232749	0	0	0	0	0	0	0	0	0	0	0	0	673
ENSG00000278988	0	0	0	0	0	0	0	0	0	0	0	0	479
ENSG00000275270	0	0	0	0	0	0	0	0	0	0	0	0	68
ENSG00000233309	0	0	0	0	0	0	0	0	0	0	0	0	726
ENSG00000165105	0	0	0	0	0	1	0	0	0	0	0	0	6649
ENSG00000251776	0	0	0	0	0	0	0	0	0	0	0	0	289
ENSG00000273806	0	0	0	0	0	0	0	0	0	0	0	0	109
ENSG00000229109	0	0	0	0	0	0	0	0	0	0	0	0	444
ENSG00000172159	7	6	23	11	17	14	11	13	15	15	24	22	6486
ENSG00000251752	0	0	1	0	0	0	0	0	0	0	0	0	174
ENSG00000237529	0	0	0	0	0	0	0	0	0	1	0	2	527
ENSG00000199483	0	0	0	0	1	0	0	0	0	0	0	0	141
ENSG00000148057	12	8	10	10	6	9	6	7	8	9	16	8	1814
ENSG00000135018	3085	2846	3167	2900	2653	2820	3057	2796	2994	2943	2920	3080	7117
ENSG00000254473	13	5	17	10	6	9	11	12	2	10	9	11	1134
ENSG00000165113	56	72	56	46	57	54	88	47	67	57	68	63	3381
ENSG00000226877	0	0	1	0	0	0	0	0	0	0	0	1	977
ENSG00000231616	1	0	1	2	0	1	1	2	0	0	2	1	3790
ENSG00000165115	31	23	31	32	26	31	37	16	40	29	42	45	5140
ENSG00000165118	355	329	384	378	332	343	333	350	297	340	383	393	2729
ENSG00000165119	12504	11313	12700	11604	10477	10912	11821	11365	12971	13924	16725	17338	5114
ENSG00000207603	0	0	0	0	0	0	0	0	0	0	0	0	110
ENSG00000235298	4	7	5	2	7	5	5	4	5	6	4	4	390
ENSG00000178966	708	658	708	603	538	575	528	539	622	559	447	468	3507
ENSG00000202523	5	2	4	2	5	1	1	0	1	6	5	2	102
ENSG00000227463	0	0	0	1	0	0	0	0	0	0	0	0	2007
ENSG00000270166	0	0	0	0	0	0	0	0	0	0	0	0	274
ENSG00000197506	0	0	0	0	0	1	3	0	0	0	0	0	5063
ENSG00000233262	0	0	0	0	0	0	0	0	1	0	0	0	373
ENSG00000228095	0	0	0	0	0	0	0	0	0	0	0	0	315
ENSG00000148053	0	1	0	0	0	0	0	0	0	0	0	0	20363
ENSG00000226590	0	0	0	0	0	0	0	0	0	0	0	0	269
ENSG00000227412	0	0	0	0	0	0	0	0	0	0	0	0	1218
ENSG00000135049	242	171	199	172	230	220	235	200	201	176	167	179	4939
ENSG00000216181	0	0	0	0	0	0	0	0	0	0	0	0	77
ENSG00000234424	0	0	0	0	0	0	0	0	0	1	0	0	1547
ENSG00000229454	0	0	0	0	0	0	0	0	0	0	0	0	429
ENSG00000230303	0	0	0	0	0	0	0	0	0	0	0	0	978
ENSG00000165121	31	28	35	31	26	25	23	23	25	19	23	16	1656
ENSG00000213711	0	0	0	0	0	1	2	0	0	1	4	2	814
ENSG00000231741	0	0	1	0	0	2	0	0	0	0	0	0	1468
ENSG00000135040	1028	897	1026	874	870	873	1005	917	1006	975	873	914	3641
ENSG00000135052	179	178	243	227	245	203	246	211	205	246	173	158	4233
ENSG00000233713	0	0	0	0	0	0	0	0	0	0	0	0	230
ENSG00000187753	0	0	1	0	3	1	2	1	1	3	0	0	1932
ENSG00000270688	1	0	0	0	0	0	0	0	0	0	0	0	169
ENSG00000223012	3	0	0	0	0	0	0	0	0	0	0	1	289
ENSG00000135070	530	515	564	490	431	486	509	442	508	601	539	595	3050
ENSG00000083223	597	486	576	481	422	499	468	460	617	553	497	565	6707
ENSG00000214908	1	1	0	1	0	1	0	0	1	0	0	0	741
ENSG00000235819	0	0	0	0	0	0	0	0	0	0	0	0	197
ENSG00000222293	0	0	0	0	0	0	0	0	0	0	0	0	191
ENSG00000232211	0	0	0	0	0	0	0	0	0	0	0	0	530
ENSG00000180447	1	0	0	0	0	0	0	0	0	0	1	2	2827
ENSG00000226237	0	0	0	0	0	0	0	0	0	0	0	0	4387
ENSG00000269994	3	2	3	4	5	4	1	3	1	4	2	5	2012
ENSG00000231007	14	11	11	16	11	14	15	11	10	18	19	23	1500
ENSG00000224887	0	0	0	0	0	0	0	0	0	0	0	0	991
ENSG00000276743	0	0	0	0	0	0	0	0	0	0	0	0	88
ENSG00000204446	0	0	0	0	0	0	0	0	0	0	0	0	3239
ENSG00000212421	0	0	0	0	0	0	0	0	0	0	0	0	136
ENSG00000228373	0	0	1	0	1	0	1	0	0	1	0	2	260
ENSG00000196730	627	520	565	516	449	465	542	500	479	461	507	585	8907
ENSG00000219928	1	0	0	0	0	0	0	0	1	1	0	1	174
ENSG00000236709	0	1	3	1	2	0	1	0	0	0	3	0	702
ENSG00000135047	998	818	1014	779	970	959	944	935	807	912	1159	1211	2366
ENSG00000237747	0	0	0	0	0	0	0	0	0	0	0	0	721
ENSG00000222408	0	0	0	0	0	0	0	0	0	0	0	0	93
ENSG00000188029	0	0	1	0	1	0	2	1	0	0	0	0	1020
ENSG00000276478	4	5	2	6	4	4	8	6	3	5	5	5	745
ENSG00000237743	2	0	2	0	4	0	0	2	1	0	1	0	530
ENSG00000232743	0	0	1	1	0	0	0	1	0	0	0	0	1506
ENSG00000277357	0	0	0	0	0	0	0	0	0	0	0	0	823
ENSG00000234575	0	1	0	0	0	0	0	0	0	0	0	0	967
ENSG00000233884	1	0	0	0	0	0	0	0	0	0	0	0	981
ENSG00000214888	0	0	0	0	0	1	0	0	0	0	0	0	2014
ENSG00000234460	2	0	0	2	0	0	0	0	0	0	0	0	452
ENSG00000177992	0	0	0	0	0	0	1	0	0	0	2	0	4478
ENSG00000230246	2	4	0	6	0	0	0	3	0	0	7	1	4657
ENSG00000238110	4	3	6	12	4	7	8	9	9	10	19	24	748
ENSG00000156345	4	8	7	5	7	6	8	10	5	5	7	10	5727
ENSG00000271923	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000217716	4	11	12	9	6	6	9	14	15	7	10	6	494
ENSG00000225385	0	0	0	0	1	0	0	0	0	0	0	0	417
ENSG00000177910	27	39	29	38	32	17	37	28	32	17	45	58	3777
ENSG00000276535	1	5	3	4	4	2	1	7	4	6	2	2	1000
ENSG00000279154	4	2	3	1	9	2	15	2	6	10	2	4	884
ENSG00000204429	1	2	2	1	2	1	1	3	0	2	4	1	775
ENSG00000229288	0	0	0	0	0	0	0	0	0	0	0	0	2090
ENSG00000226327	0	0	0	0	1	0	0	0	0	0	0	0	886
ENSG00000106723	1417	1191	1365	1106	965	913	976	991	1167	1094	939	1080	4914
ENSG00000275017	0	0	0	1	0	0	0	0	0	4	1	1	471
ENSG00000227638	0	2	0	1	1	1	2	1	0	2	0	0	935
ENSG00000231804	0	0	0	0	0	0	0	2	0	0	0	1	474
ENSG00000130045	0	0	4	0	0	0	0	0	0	0	1	1	2442
ENSG00000228189	0	0	0	0	0	0	0	0	0	0	0	0	1244
ENSG00000265873	0	0	0	0	0	0	0	0	0	0	0	0	70
ENSG00000225856	0	0	0	0	0	0	0	0	0	0	0	0	455
ENSG00000228658	0	0	0	0	0	0	0	0	0	0	0	0	391
ENSG00000186354	0	0	0	1	0	3	2	1	0	0	0	1	5050
ENSG00000213694	10	12	5	9	5	5	13	11	13	7	9	6	8754
ENSG00000148082	0	0	1	0	0	0	0	1	0	0	0	1	9929
ENSG00000224945	0	0	0	0	0	0	0	0	0	0	0	0	1038
ENSG00000123975	973	960	1047	960	878	903	1033	1048	951	1016	1119	1103	613
ENSG00000265112	2	0	0	3	0	1	7	1	1	6	6	12	82
ENSG00000187742	1053	1003	947	984	835	856	868	866	892	988	940	1010	9813
ENSG00000187764	74	70	70	94	53	69	67	63	70	63	77	108	14160
ENSG00000231799	1	1	0	1	0	3	0	2	0	0	1	0	1197
ENSG00000225460	4	2	1	1	1	1	4	2	3	8	2	0	456
ENSG00000264913	0	0	0	0	0	0	0	0	0	0	0	0	84
ENSG00000130222	0	0	0	1	2	1	1	0	1	1	0	7	1322
ENSG00000237372	0	0	0	0	0	0	0	0	0	0	0	0	2430
ENSG00000226206	0	0	0	0	0	0	0	0	0	0	0	0	916
ENSG00000236507	0	0	0	0	0	0	0	0	0	0	0	0	928
ENSG00000237626	0	0	0	0	0	0	0	0	0	0	0	0	457
ENSG00000227555	0	0	0	0	0	0	0	0	0	0	0	0	2720
ENSG00000263967	0	0	0	0	0	0	0	0	0	0	0	0	95
ENSG00000234910	0	0	0	0	0	0	0	0	0	0	0	0	1273
ENSG00000278382	0	0	0	0	0	0	0	0	0	0	0	0	275
ENSG00000279503	0	0	0	0	0	0	0	0	0	0	0	0	619
ENSG00000185074	0	0	1	0	0	1	0	0	0	0	0	0	886
ENSG00000225072	0	0	0	0	0	0	0	0	0	0	0	0	957
ENSG00000231107	0	0	0	0	0	0	0	0	0	0	0	0	1597
ENSG00000229613	0	0	0	0	0	0	0	0	0	0	0	0	1180
ENSG00000165023	0	0	0	0	0	0	0	0	0	0	0	0	4385
ENSG00000236316	0	0	0	0	0	0	0	0	0	0	0	0	855
ENSG00000270432	0	0	0	0	0	0	0	0	0	0	0	0	991
ENSG00000165025	807	730	811	750	665	696	688	670	746	790	909	969	5210
ENSG00000228216	0	0	0	0	0	0	0	0	0	0	0	0	295
ENSG00000260454	0	0	0	0	0	1	0	0	0	0	0	0	1395
ENSG00000230537	1	0	0	5	2	1	0	0	0	1	0	3	815
ENSG00000229694	1	0	1	0	0	0	0	2	2	0	0	0	984
ENSG00000237422	0	0	0	0	0	0	0	0	0	0	0	0	506
ENSG00000235641	3	4	0	2	3	0	0	1	3	2	2	1	3697
ENSG00000230147	0	0	0	0	1	0	0	0	0	1	1	0	461
ENSG00000273381	0	5	4	2	1	1	1	0	2	1	2	5	4125
ENSG00000148090	194	178	218	179	162	170	178	184	218	204	238	280	2258
ENSG00000165030	204	176	217	207	208	207	220	194	232	232	221	223	2085
ENSG00000233081	1	0	0	0	0	0	0	0	0	0	0	0	474
ENSG00000169071	960	832	943	908	749	780	824	811	879	806	1075	1328	5818
ENSG00000228595	0	0	0	0	0	0	0	0	0	0	0	0	1150
ENSG00000266855	0	0	0	0	0	0	0	0	0	0	0	0	111
ENSG00000227399	0	0	0	0	0	0	0	0	0	0	1	0	483
ENSG00000237306	0	0	0	0	0	0	0	0	0	0	0	0	327
ENSG00000090054	1735	1533	1667	1489	1485	1513	1582	1505	1633	1792	1525	1647	3658
ENSG00000275756	0	0	2	1	0	1	1	1	2	0	5	2	1027
ENSG00000232179	0	1	0	1	0	1	0	0	2	2	0	2	132
ENSG00000228069	0	2	1	0	2	1	1	0	3	5	1	3	779
ENSG00000238288	0	2	1	1	0	0	1	0	0	1	1	3	347
ENSG00000240791	3	0	0	0	0	0	0	0	0	0	0	2	294
ENSG00000227321	3	3	5	1	3	1	1	5	4	3	3	2	1033
ENSG00000234537	0	0	0	1	0	0	0	0	0	0	0	0	1863
ENSG00000225511	1	1	1	0	0	2	2	0	0	0	2	0	3858
ENSG00000236717	0	0	0	0	0	0	0	0	0	0	0	0	210
ENSG00000224809	0	0	0	0	0	1	0	1	0	0	0	0	2254
ENSG00000276717	0	0	0	0	0	0	0	0	0	0	0	0	505
ENSG00000236115	0	0	2	0	0	2	2	0	0	0	0	0	333
ENSG00000196305	12134	10603	12162	10124	9418	9190	9329	9234	9239	9867	8316	9056	7401
ENSG00000279007	1	1	2	0	0	2	3	1	4	1	2	6	375
ENSG00000281156	0	1	0	0	1	0	0	0	1	0	0	1	90
ENSG00000239183	0	0	0	0	0	0	0	0	0	0	5	0	133
ENSG00000198000	2344	2139	2348	2253	1840	1902	2248	2094	2381	2547	2031	2167	8056
ENSG00000188312	306	276	356	291	297	327	298	289	256	320	282	326	9794
ENSG00000229530	1	0	0	0	2	2	0	0	6	1	2	0	913
ENSG00000106809	9	11	14	15	13	14	7	6	5	4	7	10	3321
ENSG00000127083	6	6	8	4	5	3	3	2	14	4	9	4	2449
ENSG00000106819	11	2	7	7	5	5	2	5	9	3	5	7	2470
ENSG00000106823	13	7	8	6	10	9	7	6	12	7	3	6	4916
ENSG00000264158	0	0	0	0	0	0	0	0	0	0	0	0	75
ENSG00000225551	2	0	0	0	1	0	0	0	0	0	0	0	132
ENSG00000127080	270	240	264	214	200	233	211	189	217	265	293	282	5166
ENSG00000213669	0	0	0	0	0	1	0	0	0	0	0	0	465
ENSG00000185963	1221	1074	1310	1058	1122	1128	1156	1280	1167	1389	1394	1448	6427
ENSG00000187984	4	0	2	3	5	1	2	3	0	1	3	0	2947
ENSG00000252772	0	0	0	0	0	0	0	0	0	0	0	0	103
ENSG00000226721	0	0	0	0	0	0	0	0	0	0	0	0	843
ENSG00000275318	5	12	21	9	8	8	6	3	14	5	3	8	734
ENSG00000127081	119	71	96	99	86	84	95	92	108	76	96	101	4031
ENSG00000226668	0	0	0	0	0	0	0	0	0	0	0	0	4835
ENSG00000232843	0	0	0	0	0	0	0	0	0	0	0	0	808
ENSG00000188101	0	0	0	0	0	0	0	0	0	0	0	0	1897
ENSG00000127084	7	12	11	8	9	11	5	6	5	8	12	9	5890
ENSG00000157303	68	48	58	65	111	82	92	88	44	54	75	68	1263
ENSG00000223446	0	0	0	0	0	0	0	0	0	0	0	0	238
